artificial_reaction1,Vmax,Km1,Km2
0,99.81197256475185,2.000397317171325,2.9823682773904197
1,99.92539046899103,2.0026462002759216,2.9912454749722777
2,99.99764342661061,1.9991147020532398,2.9993920747920866
3,99.97505796967762,2.007874781983689,2.9907010623109946
4,100.0365254813272,2.004524330022134,2.9980081947189987
5,99.79132058611702,2.0023349160669754,2.976649171067892
6,99.91372184709724,1.9958458362444274,2.990702674237565
7,99.79599509118543,1.993929567824225,2.9864419378080163
8,100.01419555655917,2.003140107456644,2.9955730528426523
9,99.83088524107353,2.0017716807968173,2.982033536164188
10,99.91583143716547,1.9999467371804358,2.992919641484555
11,100.04775922608971,2.002387836934769,3.0000205796967774
12,99.82741318721587,1.995145654850608,2.99146202757311
13,99.81474422098178,1.9953548579686473,2.9875434782245507
14,100.0337488138846,2.0023541205682798,3.0000867685652075
15,99.72591844487886,1.9954192043822316,2.9821869619667023
16,99.83322271986935,2.0013567070002574,2.9842698469675257
17,99.82970102490954,1.997148709930061,2.984752957549356
18,99.89116279457723,2.0019742927361905,2.989063688894368
19,99.90353009801947,2.0025055468868387,2.9914699227873918
20,100.06912025759516,2.0038147449014243,2.9986589889884723
21,100.01840642906863,1.9973575294443962,3.0050532243261223
22,99.78690975119672,1.9918377135507612,2.989369430829423
23,99.81166936911633,2.0023129093369,2.9796917405474215
24,99.79271138796348,2.001097471190231,2.979332991738163
25,99.84203977236595,2.001745355962182,2.985366949716829
26,100.05953920667196,2.0069813134035446,2.995333084522728
27,99.75587475246208,2.000101209319422,2.9841183221178507
28,99.82250624490676,1.992534865679074,2.991030587309189
29,99.84736192546572,1.9949510329609712,2.991363831990056
30,99.87378219235175,2.0025658282883083,2.984366697166059
31,99.99141416140836,2.0009833992086583,2.9971549368876222
32,99.87784937404956,1.9956791639423908,2.993051535492694
33,99.68322520484675,1.9978850876812153,2.9731186253309105
34,99.97484551488071,1.9979785915839037,2.9956106253419335
35,99.73253151858349,1.9981337474450034,2.982011634815696
36,99.95215359709631,1.9963744967850694,2.9972282911672705
37,100.00938204952784,2.0002915099584317,3.0012365886858454
38,99.97203957679422,1.9931405930348782,3.004057671693771
39,99.9765923073671,2.006951918390877,2.986952697764569
40,99.8917432969569,2.0045964777610132,2.9872181122382386
41,99.80412907511554,1.9969285235453171,2.9859465613120193
42,100.05769364175487,2.0042956104838194,3.0013817666513334
43,99.84983896021119,2.0022093353922132,2.9845357176970086
44,99.98496823900456,1.9993211141138219,2.994506094083142
45,99.85560936163492,2.0013388582723772,2.9873720690027157
46,100.05445482710128,2.0051077266193236,2.9928057242026322
47,99.7288768871466,1.99213033308767,2.9857773889320405
48,99.89793609205613,2.0052161798323196,2.9846333466760737
49,99.99790819104489,1.997586729700267,2.99988430631241
50,99.98959793295478,2.0038886192051186,2.993989311448463
51,99.90728508634862,1.9967617118993406,2.9953413848657116
52,100.01811843375539,2.0124030151143595,2.983543832148549
53,99.98730732066676,2.0040708366910027,2.9922252346617895
54,99.75641395327986,1.9982228797366943,2.9807954968474597
55,99.9663982139932,1.9992834102469765,2.9932822454411516
56,99.77075980688278,2.000118370766855,2.9797775535764432
57,99.91395980231997,2.001306360994698,2.985368005405506
58,99.89675650070348,2.0000555448977844,2.9870257303298424
59,99.91825880916552,2.005674161260025,2.9840740857328965
60,100.08741906562318,2.007208002357317,2.99881408609903
61,99.92237708139085,2.0018385999350308,2.988734629912996
62,100.01394666647941,2.0006703462208257,3.000268998443744
63,99.81078088511315,1.9945970861906943,2.988074548219159
64,99.92631862384734,2.0025869757304307,2.9870061246704096
65,99.89173592607075,2.000322816243938,2.9913540375169676
66,99.82022157860641,1.9985236577929393,2.9846351101123787
67,99.81432385428826,1.992318756382429,2.9958390666190717
68,100.0121807160203,1.9979493579277026,3.002588018458177
69,99.79042798897463,1.9997357323472398,2.980665967432104
70,99.84719463342087,1.9945223656534115,2.992638881335977
71,99.7632620288276,2.006610524908113,2.9773938928563246
72,99.81692971627649,1.9966402435978508,2.98674153274195
73,99.78338836816916,1.9981039179345583,2.9784159444250453
74,100.0269276924574,2.0029108539626654,2.9979897343007003
75,99.97699608548432,2.0085948950838675,2.986385058833536
76,99.91397209914217,2.0069322287064044,2.983171011992996
77,99.94259665320301,1.9974830075633316,2.9954558216139677
78,99.93901245250899,1.9946598655364636,2.9964146170408172
79,99.97206982341761,1.9981942420805558,2.99729263844161
80,100.0898278220196,2.0056465592955495,2.997346765548001
81,99.91153128080275,1.995864868276435,2.993385294130992
82,99.79219892140519,1.9922295854966685,2.9883931797937104
83,99.76111579967477,1.9980823774690881,2.983191447732503
84,99.88953053210666,1.998571350872061,2.9906659728671725
85,99.84604862140743,1.999073691409398,2.9870103254370837
86,99.94252844467525,2.003829885503349,2.989972045157179
87,99.97767183578034,1.9982671689739844,2.9980169968436536
88,100.041895059666,2.004232451554811,2.997272131027263
89,99.84034810216772,2.001091100317501,2.9857797498427328
90,99.85847679995643,1.9996514942379588,2.989268831738914
91,99.93106246415267,1.997660380057225,2.990499393006973
92,99.85887320376733,1.9971315550494755,2.9890222351192017
93,99.95511805892068,2.005761458890995,2.991930296489109
94,99.84427855916161,1.9961554481247727,2.9911335446576914
95,99.94852340627138,2.001368623176878,2.995308607413585
96,99.89191773447502,1.9980334256381311,2.9917757872321338
97,99.96562114916398,2.0014457734265725,2.9980800820427405
98,99.74498255414692,1.9999418598102658,2.9779467719050534
99,99.83151143758325,1.99828196709279,2.9876893391840897
100,99.95054583352358,2.0057470419001096,2.9886038705041695
101,99.71909579247402,1.9954622850091408,2.978494339217818
102,99.75508056408252,1.9943843822971934,2.9869988039936763
103,99.8793268387203,1.9986891770142308,2.9896048352377758
104,99.8708781134868,2.0033054545262416,2.9855164264653915
105,100.0148347133983,2.0004372037980165,2.9965414681234477
106,99.99455062843367,2.0047613993851425,2.992197380329189
107,99.98133034782134,2.0052327875854146,2.988412626251493
108,99.98631329297406,2.002913855553444,2.996420270537674
109,99.70805881502146,1.9944615236595995,2.97875784840782
110,99.87057702925016,2.000251145408693,2.9884558291578696
111,99.83334176196982,2.0067076878844157,2.9797744364915126
112,99.90650793251488,1.993626129602025,2.995942474615441
113,100.04468715521791,2.0068430573920724,2.9940113390336967
114,99.95015014220436,2.0042850158642187,2.9877675062554574
115,100.1031303712677,2.0104307687082534,2.99328274444497
116,99.77365921918184,1.9915754597561552,2.987165522169793
117,99.80066621089235,1.9976479838957284,2.9852086505262743
118,99.89679953866647,1.9995907402093525,2.994475378249012
119,99.91452475884907,1.9954049888960452,2.9955488988446453
120,99.75289776528346,2.002372101007082,2.9730604671705336
121,99.80997442646908,2.000750713945982,2.980073610752036
122,99.94651039293973,1.9978407265755125,2.9980159351255424
123,99.89694230062263,1.9998010341168828,2.9962458640488916
124,99.74791945711979,1.9971909350121526,2.9826718795785765
125,100.06739274521489,2.0063539179040766,2.9956834953576315
126,99.9994497401961,2.000978615507817,2.9957500164269293
127,99.87925253064326,1.9955402553456165,2.990457713418483
128,99.67260137169227,1.9952110426380028,2.9765287848540467
129,100.02474201575515,2.000850961439668,3.0023165186331964
130,99.9739430938762,1.9937512319780042,3.0046671829061435
131,100.13077700473768,2.0076515438861917,2.9981263393777215
132,99.80693774422726,2.006101980270764,2.9763881206653364
133,99.98936111391811,1.9965082398675913,2.9988248264093142
134,99.67815796108621,1.9916411518025123,2.98062404101491
135,99.78822209742788,1.9969049044163725,2.9847458657932826
136,99.79944382951655,2.0007659335731183,2.980718127083793
137,99.89749372804843,1.994172392311813,2.9968577932400557
138,99.92489247791727,2.0038861595120165,2.989411393840549
139,99.82182902346122,1.9981656726339863,2.9867073697492126
140,100.00897131684904,2.003120026534584,2.9967712113025637
141,99.84766322314954,2.0009548610042915,2.9852752187004086
142,99.99996685157042,2.00982630355592,2.9851106392430657
143,99.90537647557817,2.0024200234828817,2.989237606016354
144,99.87237932919322,2.0018694299419137,2.984424189220702
145,99.86531836158035,1.9979643211057219,2.9879421367163843
146,99.77463466405811,1.9964806921456255,2.98116351605899
147,99.84364517767632,2.0022752842306435,2.9817915673855397
148,99.85044896937099,1.9955882222388721,2.9920188821400067
149,100.00351547269754,2.000261273073379,3.0005310302097037
150,99.91531927385614,1.9997767280920102,2.991011874224909
151,100.02658097657682,2.011682925502853,2.9911375539215452
152,99.76151970243066,1.9931872768853638,2.9839886787579286
153,99.79055679434191,1.9871300165038672,2.9966322844253144
154,100.04844332919924,1.9990685256111325,3.005004037469909
155,100.01490406772227,2.001226029943557,2.995500594677408
156,99.95691715345087,2.001093401808537,2.995284415894009
157,100.1999072998975,2.0050251851670287,3.006127561928782
158,99.97516742799617,1.9957571146763613,3.001901892240519
159,99.89125390287015,1.9982704628899237,2.9913277411895765
160,99.82287102152041,1.9996729491807888,2.989078751787876
161,99.82925046390893,1.9981961462938558,2.98846121093518
162,99.83306410695803,2.002021025763772,2.9848155799197045
163,99.77022880744657,1.993931759702669,2.9862980639470402
164,99.83298090667216,1.9965725859730976,2.9910829439274202
165,100.07075898761114,2.000270259502051,3.0070956634273136
166,99.9354090971055,2.000038716932303,2.9942875381496843
167,99.99558118778843,2.0128112524177038,2.9846705622352068
168,99.85413508608475,2.0038004301999583,2.986555632765425
169,99.83459543168597,1.9968369152217686,2.9847727082447837
170,99.88494823111054,2.0000244264661036,2.990601864931987
171,99.89418092760495,2.0048957496249122,2.9857366015680173
172,99.88412824827664,1.9952869098884352,2.9896321622139426
173,99.73766918796751,1.9907083151245644,2.9841289528448036
174,99.92723143137106,1.9949108755338611,2.9966548545052127
175,99.90495132308324,1.9983258754001034,2.9933170908345565
176,100.08660614493982,2.003257181330113,3.0010177968866163
177,99.87069341211951,1.9958241139364246,2.993378363694645
178,99.96925185125157,2.0006262946212265,2.996115074205244
179,100.01495563371834,2.0070884557694932,2.9922437394549775
180,99.86861754218968,2.0034181453704076,2.986697279989193
181,99.94937131052929,2.0036659176634974,2.9922795728380764
182,99.8554796720459,2.0036344304695177,2.982230003389374
183,99.82099983186986,1.9956074146062261,2.9866061810871547
184,99.85281552309777,1.9964794072674774,2.9908680122516906
185,99.72603923160767,1.997556632007477,2.9785117579142324
186,99.84329517937542,1.9989986662457961,2.986276926454639
187,99.84167226708912,2.000209694521355,2.984732482604217
188,100.06732337116824,2.0077872474549974,2.9966673724464092
189,99.85012111802573,2.0005054792030035,2.9859673579209063
190,99.88501366282092,1.9948112272664218,2.9952066015250165
191,99.74246569610196,1.9940584142080948,2.9855972005162856
192,99.864547966616,1.9972763129818853,2.9861993555830875
193,99.96974958772785,2.001463766572766,2.994440617069581
194,100.0914420535597,2.006185580930002,2.999193332573009
195,99.76392538538072,1.9929473598222958,2.9878574725786913
196,99.97762559007626,2.0089607665701594,2.9896498232544557
197,99.94195126189615,1.997236379195077,2.9951836905333296
198,99.84139673164975,2.000971661376424,2.98727226506293
199,99.89715662321328,1.9963949660029934,2.9981012950534462
200,99.74008636829149,2.002860625037147,2.9724104064175987
201,99.88657248507518,2.0027591416116635,2.988499961134063
202,99.93707397210461,2.002382392097238,2.9909958307594633
203,99.9636639806281,1.9936795761229693,2.9988845129455046
204,99.83272682689879,1.9994645286693056,2.9840105541111357
205,99.98335486308825,1.998120720801489,3.0011312125934464
206,99.82478524108939,1.997738267444224,2.9842618677972355
207,99.81059504064305,1.9973252298285502,2.9908665820707228
208,99.8167819321358,1.9958396313253124,2.984658804688072
209,99.7888189321554,1.997411891967178,2.9813085712707346
210,100.14402076080798,2.0089407739775447,3.0000548762344326
211,99.63758733911624,1.988444790715177,2.9808434381042206
212,99.80203550483283,1.9992317162205366,2.984565162961469
213,99.93196344157643,2.0024263360021037,2.9928110362802887
214,99.929613225722,1.9985658752408777,2.9920829947656933
215,99.65813058386297,1.996939196018097,2.9781663224027213
216,99.89358804595177,1.9999452345077011,2.99105258089453
217,99.92028359547753,1.9974242994884224,2.9928093398069087
218,99.96200833995499,1.9955169228390628,2.999219395680245
219,99.97033748323038,2.0039302478910384,2.9911642072764457
220,99.95902087411586,1.9990271752551347,2.994047993688659
221,99.80966632687299,2.0000722293891053,2.9818959289837297
222,99.71449743905447,1.9921161831186875,2.9847335938725164
223,99.8177508840856,2.002236976464508,2.9782143114864974
224,99.84405536882399,1.9976251976291017,2.9885478074129277
225,100.03414928466283,2.009431902436702,2.9875161087441273
226,99.94848974588932,2.00458585683058,2.9866318664594087
227,99.89402123209548,2.008194155973657,2.9833229965554176
228,99.9056131235477,2.009142459157721,2.983107708848894
229,100.0430039045708,2.0010155199836914,2.998646366322075
230,99.99768100299198,2.001484262735052,2.9988137222410054
231,99.93124084841195,1.9957214857853522,2.9994172780677033
232,100.01530521943957,2.0043854801368783,2.9955253697254234
233,99.93186424438134,2.00087596744889,2.990876753568922
234,100.0201452699658,1.997638430583412,3.0077999566746203
235,99.84812947955146,2.0017364313724104,2.9809036907352833
236,99.84097606312407,1.9955454889555817,2.9917848458090432
237,99.9756194669441,2.002776060059892,2.993649810952156
238,99.94362393051709,2.000661272638331,2.9940604346140183
239,99.96226511057118,2.003507847017439,2.9897972177927863
240,99.96661060875225,2.007144538431515,2.9863274755871196
241,99.86580691783053,1.9995730966376475,2.9857429594380203
242,99.96305162869785,2.000547980312535,2.9926354331567104
243,99.83717550182033,1.9975003546018084,2.9909267200109912
244,100.18631968566409,2.000812398263484,3.0064786436413655
245,99.95194780525624,2.0000232288642117,2.995412928783233
246,99.94536760567696,2.0037037426540167,2.988659056780017
247,99.95755776894315,2.0086008293079862,2.987635512038937
248,99.92925061374706,1.998800307005999,2.9967852242647446
249,99.88055615968823,1.998979129528471,2.988573537502174
250,99.85149422025678,1.996049441787125,2.9928028099432256
251,99.95286146158243,2.0042796307363635,2.990773710877921
252,99.95146193674796,1.9958141317758877,2.9971906509009814
253,99.85389515905297,1.9977916332741914,2.9896506730331143
254,99.95111317512941,2.00277549685091,2.9881241705100217
255,99.9924894173416,2.0039933626793918,2.9924233878823996
256,99.8267764219549,1.9988253644392904,2.9859638937935618
257,100.07113008371464,2.0066896511527466,2.9984741308982756
258,99.93093827005387,2.005315768536401,2.9862755818349798
259,99.7376197408142,1.9995628705985613,2.9782427405213237
260,99.81464812255403,1.9938614701468669,2.988544647799371
261,99.81986745102934,2.005458064292388,2.981591658575091
262,99.85355855787668,2.006131846840864,2.980488824112254
263,99.92942927662942,2.000039520106704,2.9939253920928923
264,99.95271545161717,2.005844520756269,2.9881875924990244
265,99.93414432643281,2.0017180458866277,2.988949347287315
266,99.95770042849283,2.010426422506357,2.9861221297058655
267,99.9708230750233,2.004272759859648,2.9918428301448428
268,99.83610192772045,1.9962202029576759,2.9880698175972524
269,99.75071766940856,1.9917001592487509,2.987864337150094
270,99.85693647909191,1.9988532625463518,2.99203910893806
271,99.99609444378932,2.0057175133749077,2.9945441636038046
272,100.07153273489193,2.002134485095756,3.000840971482852
273,99.77312923701575,1.9942706133267711,2.9870215199094248
274,99.94567319020648,1.993968693891469,3.0021228431413816
275,99.914208116713,1.999073130509467,2.992418528523623
276,99.80559128241512,2.0038939035676036,2.9799573710882425
277,99.80942611172931,1.996902071714838,2.9917751562899446
278,99.89794886476818,1.990731222079054,3.001981408124292
279,99.89788452807676,1.996663752576564,2.994280498108453
280,99.93049920798344,2.0052858840171424,2.989423365581812
281,99.95028418035605,2.00357368654993,2.9902699566211424
282,100.03485322090613,2.002014636208406,2.997215465848005
283,99.97019367081968,2.0004561283602107,2.9925255954526717
284,99.94502333445479,1.997550031497616,2.996786844828108
285,99.92547623818261,1.998805660579872,2.9959216788386325
286,99.91593085150707,2.000139655931482,2.989463315693709
287,99.84160848624977,1.9999117861182676,2.984660657922875
288,99.90706839974021,1.9942116167615238,2.9985291296408954
289,99.83938493940565,1.9989479829098167,2.984724023779222
290,99.93198703098032,1.9999170683061938,2.9938725991265165
291,100.02295740535476,2.0096869906763337,2.9885489000192327
292,99.97342052645435,2.0064176107116207,2.9866251185849393
293,99.83466320607397,2.005413451589577,2.9802076265783732
294,99.8106736430255,1.9985997768653196,2.9832093668928086
295,100.04130981682029,2.0031601055663844,2.9984117607306313
296,99.97172402700578,2.0066298366440227,2.992646390805706
297,99.68721616456358,1.9955281424837483,2.977907970316061
298,99.80130163825851,1.9977127884077788,2.9843789738466255
299,99.92729973894404,2.0068347569272778,2.985667519958708
300,99.85713839531465,2.00544058605576,2.9814662122377253
301,99.95577457777404,1.998160917906239,2.996111986848247
302,100.06826358977139,2.000116208369387,3.006487780295997
303,100.01077025455731,2.0062473108549757,2.991663078347555
304,99.72051178653959,1.9938827454431425,2.985607842154087
305,99.94679949765357,2.003708919767786,2.9893220250596997
306,99.8520301893682,2.0018446205476796,2.984806566377503
307,99.8058894864651,1.9906030521697415,2.9892778637804867
308,99.98935172445259,2.001302574386319,2.996988162264799
309,99.99954580874231,2.001211095018011,2.994009357939
310,99.94302055296225,1.9968821389324443,2.998760123272034
311,100.05841483546531,2.0057465817185887,3.0010950625623747
312,99.91696867436133,2.003524165434427,2.9887604536265764
313,99.84641509675644,2.000760965428583,2.983949861435812
314,99.80713410298404,1.9898911337411338,2.9946658670340307
315,99.9335124398964,1.996237271303883,2.9964734827319552
316,99.93997961136817,2.0025420977451525,2.9892100838578783
317,99.90586287800808,1.9969057477642707,2.9974667177144703
318,99.8784690636742,2.007147080394889,2.9790224683719697
319,99.78218147108993,1.9994993740461513,2.983252094710667
320,99.82977648964138,2.002791016968547,2.9802933198632693
321,100.05677682566996,2.008271545558654,2.993410673849904
322,99.8182063009907,1.995674241280657,2.988707011614614
323,100.14926618655424,2.015225506765828,2.995261783343989
324,99.79633062345282,1.9986681803030792,2.985414024147275
325,99.82404059958604,2.0019712138101804,2.9845412448745035
326,99.96678619450684,1.9974637297074402,3.0004034152138246
327,99.9271021825284,2.0039449650241905,2.984936512937299
328,99.96424146306224,1.9982174241984467,2.998281643525456
329,99.88377384052619,1.9938967997373698,2.9970578653140185
330,100.02316355718662,2.0040075242763966,2.9962140158853514
331,100.06584898103179,2.0031501030386347,3.0005003262732832
332,99.89438394675739,1.9910618811432335,3.0017582574279276
333,99.94662314378633,2.0035657610864037,2.990980413202594
334,99.92436048295077,1.9963707297564766,2.995226361821065
335,99.98593271779467,2.004928615334863,2.990924465452076
336,100.01018415722625,2.0003100068157225,2.9970762504534076
337,99.92039381566882,1.9967634517207336,2.9955276637743014
338,99.93981926241429,2.000817842840109,2.99153614333551
339,99.84721733016667,1.9993391469685564,2.9855733437653402
340,99.83868023361207,1.9978025121106016,2.988522805354894
341,99.77983472209092,1.9965021528068183,2.9845267659982246
342,99.75906029346037,1.99490706635693,2.9799282139668555
343,99.83909402419992,1.993997531985595,2.9888631882504897
344,100.07105950467853,2.012037175706918,2.9938306159471977
345,99.56425365199051,1.9877484514134967,2.9787697460548848
346,99.90577933720438,1.9965207964689984,2.9952045497006754
347,99.9058198642113,1.9937634093487657,2.9973984488581693
348,99.88220043656068,2.002299350498814,2.9863961774727854
349,99.75038582819313,2.001607675338555,2.976496829918177
350,99.73560047343625,1.996064628757775,2.983584418589924
351,99.73820143427979,1.9919870631302319,2.986860333146797
352,99.82796786250057,2.003747846668926,2.979787457255654
353,99.8872273705618,2.0041882135382645,2.9834741750538383
354,99.88773548634322,1.9994862344394517,2.99033493638164
355,100.00995127481269,1.9936240012779733,3.0008130149114103
356,99.82730834627452,1.996047545779227,2.988346657552508
357,99.76716011129194,1.994966816470289,2.9844761622168776
358,99.7921802317777,2.002826462499353,2.979474118607721
359,100.04154480614523,2.002011334494067,3.0002653703678503
360,99.63774212568799,1.9983256187610239,2.9704362818170833
361,99.85657137495326,2.001548750401438,2.9846329368330125
362,100.06116624303723,2.003740505030563,2.9992793159893094
363,99.71258190809823,1.9983102936104482,2.9748055432535216
364,99.92664488479937,2.0011553525425523,2.9928196625802714
365,99.92053584983935,1.996667644154165,2.9955657350339764
366,99.73383605496738,1.994188377728862,2.9823257741867453
367,99.77553804897369,1.9985397461466965,2.9788848764709517
368,99.7347278711338,1.993550773171032,2.98728970166768
369,99.89762061347851,1.9993607149771906,2.990354157295894
370,99.83097404014048,1.9954078032895428,2.9877434344459712
371,99.89921405430204,2.002653349913436,2.98391811964591
372,99.90832405573016,2.005949741063402,2.9823877461727997
373,99.8126296626653,2.0006189667147742,2.9835464267972824
374,99.9631242292008,2.0006157871411485,2.9949154417404977
375,100.06107441736623,2.002460321121544,3.0018128783475873
376,99.9646234841489,1.9993189139991652,2.995071783833419
377,99.97403430436016,2.002392350018385,2.993634509843481
378,100.06361954144877,2.006783560547954,2.9966282587417603
379,100.04596624854237,1.9958212794917307,3.00810055616078
380,99.9459899811892,2.0026026046544243,2.991491010158496
381,99.84762474729087,2.0025229691007334,2.9826920256185043
382,99.82302492511026,1.9949028901540975,2.98911804466619
383,100.08319601873114,2.0047808327693324,3.0017577665359934
384,99.90018889245762,2.005640549788354,2.983860863492201
385,99.81358957474548,2.003211850616524,2.9813742411845476
386,99.89977161339061,2.002731976416402,2.9887825266504597
387,100.03263661277997,2.005220618124936,2.998005749915126
388,99.85365032199415,2.0001739381503967,2.9907657432536627
389,100.03173228835537,2.0052430066507823,2.9967632762864245
390,99.82717203543724,2.0070102413646147,2.976086217750302
391,100.06995580246436,2.0034690483007327,3.0004819492801986
392,99.87480040566001,1.9986233498203458,2.9918761257193487
393,99.90866512779102,2.000836900032408,2.9920829631503065
394,99.8790550845432,2.0014865253853356,2.9866088553864576
395,99.88154837569856,1.9999618524268166,2.9889925471526504
396,99.97095671380313,2.000966327954705,2.9994857726014534
397,99.8617604519994,2.000893850137661,2.982385895782346
398,99.92746960338748,1.9965901036252407,2.9947850113575907
399,99.80465324136377,2.0002308820110786,2.9790609538386903
400,99.92035913291477,2.003018585782928,2.9890875215462023
401,100.03144025656694,2.0052942038174377,2.9951652511769318
402,99.84760508784136,1.9949487531897276,2.992089814649001
403,99.863112646709,2.000732747639517,2.9847596644709435
404,99.80212080177334,1.9997206409611101,2.9854420829426944
405,99.99114911814492,2.002137185368554,2.995378159384001
406,99.57143989741064,1.990093045601282,2.9724939774817183
407,99.93813103865722,2.0018841563804735,2.9919506233853603
408,99.92817974224604,2.00504791177754,2.98867578073054
409,99.84740610294408,2.000893708955572,2.982568402254236
410,99.85551380388632,2.0007467755369257,2.9890054601566054
411,99.88161760769022,1.99736808565992,2.989974687186054
412,99.84098135934632,1.9911852171511923,2.9960028780675994
413,99.90540948141131,1.9969342301323345,2.9927296516584843
414,99.85151151535146,1.9996657849410442,2.9873816725373836
415,99.86035578816065,1.9941922232890081,2.996860874826371
416,99.86774342860133,1.995059128102276,2.9974856898054476
417,99.91817138200237,1.9927132259016014,2.9970153015544976
418,99.94353146440736,1.9969576735109857,2.995964252888603
419,100.05325052017481,2.0022252195707626,3.0003755387061095
420,99.9189232111607,2.000562648972292,2.9910466754205447
421,99.91771132766526,2.0025649598573914,2.9907923837900947
422,100.05779399140579,2.0079910636496527,2.9945893964047996
423,99.84322627835806,1.9984972079636527,2.9868787515437063
424,100.02457445311856,1.9989698425862326,3.0031205713346556
425,99.94797557243021,2.00200400250782,2.990066933273849
426,99.88119556343224,1.9971187308695961,2.990767136875528
427,100.07848083168264,1.9999201660448804,2.9999943997113347
428,99.9934303941348,2.002483156825356,2.99673019647479
429,99.92323469029165,2.000560931320525,2.990008415312118
430,99.9500870188681,1.995645685538186,3.0029538218934966
431,99.94614441244492,1.9998206439875812,2.9938430305192445
432,99.96262879942107,1.9991039572344576,2.9957799718781617
433,99.91822417826029,2.00549946625253,2.9853400575088456
434,99.80415663246406,2.0040598614871103,2.9810734536714394
435,99.89996394868443,1.9958111539950676,2.9943745291992734
436,99.76554723912672,1.9996239420244584,2.9803900759896202
437,100.035362463169,2.006993731726346,2.993908704295164
438,99.88086220668468,2.0007909243536783,2.9884513527308387
439,99.90126531865215,2.0004746296305664,2.9930000636445193
440,99.94447117655979,1.996821612562317,2.996152440112204
441,99.77331923902963,1.9991784857152257,2.985499474853343
442,99.83998517537862,2.0020443327296835,2.9842876297488097
443,100.03921326090709,1.9991099837826252,3.0010088375368222
444,99.820005763528,1.9988343141580236,2.9889187761028078
445,99.84085756585931,1.9937303378452067,2.9909160260050562
446,99.99421049788076,2.002227721072147,2.9986897658745577
447,99.87561578583907,1.9965602252676864,2.9937307375931455
448,99.84738908491963,1.998948538510403,2.9883046664992756
449,99.96837833571897,2.0026545245741496,2.9914464894002024
450,99.94565689635846,1.9988934733168031,2.992914872351396
451,99.9842564391588,2.003382186947944,2.991996718712202
452,99.80725125014241,1.9983544998324567,2.9883760418199974
453,99.86388864397273,2.0004675252469997,2.9852722240240737
454,99.94838860490286,1.998185344988477,3.000248625433601
455,99.78325819497611,2.0017190838049577,2.9805917555448618
456,99.90039197094603,2.0061950781744957,2.983363815435156
457,99.8842048402715,2.0048884152283395,2.9843495373938667
458,99.99916988134525,2.005227352210637,2.993767188758064
459,99.91528499184932,1.9947901141940694,2.9959018719274906
460,99.95263320455747,2.006955481446424,2.987276451008333
461,99.7154349036322,2.000792557808541,2.9723212830434522
462,99.97188215871766,2.001348455291124,2.9949593987295167
463,99.84079540879581,2.0044372616205037,2.984311962646499
464,99.83436720884143,2.000123969877315,2.985301416863984
465,99.87610715276499,1.9973710609225683,2.99014381249896
466,99.91259014754017,1.9975740457380025,2.99404178236712
467,99.95680238200612,1.9975180836171669,2.99877863811019
468,99.99106162612813,2.0058435762781146,2.9931881991515454
469,99.64535357461538,1.9908198656187004,2.9808861719760857
470,99.96989816723149,1.9977021644578457,2.998478132901872
471,99.86561684771321,2.003929750557462,2.9846391900660683
472,99.89309328017063,1.9950410953751154,2.9961402392298537
473,99.95457163326624,2.0042262997100324,2.9921294303783927
474,99.8293527490344,1.9997859890391751,2.986015364230692
475,99.7547575573362,2.0050415350585307,2.9734504551844707
476,99.93714988735373,1.9977565577866223,2.991415468154737
477,100.02315451191255,2.0081020659471474,2.991936915914237
478,99.9274455845479,1.994575630922274,2.9977497744389
479,99.93948300909545,1.9993978058104012,2.992603630983174
480,99.62631381106583,1.9958281409648422,2.9735673901050337
481,99.82367139095813,2.0025806514776,2.980824245583857
482,100.05741167527249,1.9996503517519146,3.000497758180728
483,99.86737866096124,2.000045370239104,2.9869736959314217
484,99.93405020110956,1.9957013395537937,2.998920510692762
485,99.9480361407209,2.000258352445868,2.995095434050084
486,99.87881069053631,1.9980526099338412,2.9889069240111783
487,100.05448362193924,2.003361221132662,2.9996011866982175
488,99.93683932076071,2.0011393745454464,2.9944027741604913
489,99.94333353785646,1.997808672118255,2.9965046147577206
490,99.76757265838316,1.9970081707630674,2.9827011749316696
491,100.01908853480984,2.004551461874441,2.994293077621262
492,99.99016055811059,1.9968267974036549,2.9999364264519155
493,99.89245091019812,1.9996505835615093,2.9910402437615446
494,100.03558051903765,2.0063914875761277,2.9932591176154397
495,99.88367265081433,1.9967862277746862,2.9894233686081653
496,100.0808510321014,2.0071655841080926,2.9965078832295893
497,99.92485071483179,1.9996029537634048,2.996344098254032
498,99.82511699642946,2.0009236307906835,2.981690224678909
499,99.88382388783248,2.001252327262296,2.990096746608729
